num states cc mbpt cc_times mbpt_times
13 13 0 0 0.153841 0.000145
13 14 -4.9793345109566616 -8.2355785813632298 5.345244 0.002998
13 15 -5.4325594852691825 -8.8865457884005465 5.135564 0.003428
13 16 -9.3485447445032541 -14.740202070339111 15.934629 0.007559
13 17 -12.817506588590684 -20.443026799083896 27.051256 0.014766
13 18 -14.381883285637514 -22.395438429269049 36.361162 0.013458
13 19 -16.263244286021347 -25.445166662182686 44.429877 0.016765
13 20 -18.747779656027632 -28.509865583068091 71.820130 0.057882
13 21 -19.743084076480052 -29.691492292204458 83.970824 0.030700
13 22 -20.434845095295245 -30.462545097041492 101.182673 0.056894
13 23 -21.314404223470959 -31.497281980481922 123.097693 0.071089
13 24 -23.04776195843673 -33.420742447645139 184.240956 0.061034
13 25 -23.718889927136022 -34.149628897081605 215.330466 0.064950
13 26 -24.883218327778415 -35.389543838580451 284.093620 0.117414
13 27 -25.615682587132582 -36.168785575944504 337.375878 0.106029
13 28 -25.764378734286595 -36.327503768553157 370.742280 0.102991
13 29 -26.265074225632887 -36.849649575142791 399.136641 0.121518
13 30 -26.723371976072769 -37.328053920461826 489.997238 0.134782
13 31 -27.145846201546505 -37.767444029763681 538.985286 0.179005
13 32 -27.378310917613462 -38.00706568117343 545.237787 0.155054
13 33 -27.546862662791987 -38.180427254544298 628.066403 0.161591
13 34 -28.015084154704738 -38.661752410160716 716.770741 0.186878
13 35 -28.145914453246878 -38.796192853423094 761.082776 0.200197
13 36 -28.625696581004227 -39.288807665239702 836.581166 0.227757
13 37 -28.852838191583338 -39.522542574597971 895.819567 0.272148
13 38 -28.953332136408939 -39.625461654852508 919.862755 0.256514
13 50 -30.506073316293222 -41.221856782688448 2207.120094 0.572124
13 63 -31.267996611825257 -42.017237534749405 4309.412592 0.986877
13 65 -31.375779046861432 -42.131289019585765 4985.863001 1.053201
13 40 -29.31048894306705 -39.991859334090037 1155.237399 0.320930
13 70 -31.52205556342534 -42.286976878349826 8931.562155 1.273134
