num states cc mbpt cc_times mbpt_times
8 8 0 0 0.148968 0.000092
8 9 -1.8983557581914567 -2.5199318265184698 2.587604 0.001386
8 10 -3.3657729514780259 -4.3674981670730357 3.992107 0.002486
8 11 -4.9566883763976124 -6.4165103741417902 6.739108 0.002403
8 12 -5.2970645130889977 -6.7943709553004368 7.268509 0.002457
8 13 -6.7260156382233243 -8.7686214508098494 9.620006 0.002781
8 14 -8.4058977922593279 -10.677895844679142 17.297963 0.006155
8 15 -8.4927235374908996 -10.766627391456616 17.599074 0.013113
8 16 -9.205827119013918 -11.513055411130017 24.323880 0.027514
8 17 -9.7221453949710401 -12.066754842752946 29.071214 0.010183
8 18 -10.042671483052246 -12.412523476633831 34.128861 0.011503
8 19 -10.279387729757472 -12.659533650157542 38.704417 0.013303
8 20 -10.684053221014977 -13.078861812102446 50.546779 0.017532
8 21 -10.85698836762991 -13.257292540274424 55.879809 0.018070
8 22 -10.979852359508754 -13.383109852462646 61.662064 0.019815
8 23 -11.119790283685186 -13.527751105490481 68.348748 0.021920
8 24 -11.404999337733013 -13.820529044743264 83.282153 0.039974
8 25 -11.511961793469119 -13.929606222607237 93.184447 0.043451
8 26 -11.708430694974167 -14.13125800777496 115.577398 0.056600
8 27 -11.824252583178904 -14.250205838925272 129.924225 0.040127
8 28 -11.848649286265486 -14.275437995929416 143.049559 0.042356
8 29 -11.93297815638066 -14.362455392975427 151.717925 0.112242
8 30 -12.008331360273264 -14.440438681975905 171.712914 0.054226
8 31 -12.077549418929557 -14.512177136285668 185.423752 0.074414
8 32 -12.115838087046855 -14.551952366245882 200.105175 0.057713
8 33 -12.141573969803941 -14.578597626714018 203.401771 0.061334
8 50 -12.605008872029469 -15.069473258044763 567.579029 0.170388
8 58 -12.687358612135203 -15.159786152865582 825.772592 0.232771
8 65 -12.734666049681664 -15.212323961727586 1097.678382 0.275082
8 40 -12.422027661491558 -14.872961376734139 350.078664 0.645969
8 70 -12.756737434632363 -15.237004207104286 1379.971546 0.293599
