num states cc mbpt cc_times mbpt_times
4 4 0 0 0.142274 0.000095
4 5 -0.052085821719911329 -0.054617995837519695 1.671375 0.000123
4 6 -0.64534273262045538 -0.67620042332044394 2.013523 0.000536
4 7 -1.502925085944693 -1.6161879028523227 2.539828 0.000839
4 8 -1.6623948180581574 -1.7840218651952731 2.931648 0.000654
4 9 -1.9625681576297653 -2.1016592029868617 2.858191 0.000604
4 10 -2.0675652652744856 -2.2065028632839985 3.607466 0.000691
4 11 -2.1606569041058572 -2.3009075737659099 4.493389 0.000728
4 12 -2.1958716032136141 -2.3379201496604898 4.299834 0.001970
4 13 -2.2519714377415112 -2.3954179828318511 4.661192 0.003827
4 14 -2.348579706201559 -2.4953169802328752 5.798015 0.002919
4 15 -2.3541580351784162 -2.5009767074484115 6.390474 0.003589
4 16 -2.3990772340836077 -2.5475746129933401 7.192869 0.002891
4 17 -2.4261771269389314 -2.5758437863326269 7.322784 0.005565
4 18 -2.4421122010248864 -2.5926845870727946 7.083298 0.005815
4 19 -2.4545006593628731 -2.605734342733065 8.228098 0.004387
4 20 -2.4764654908221013 -2.6290301071844668 10.483424 0.003623
4 21 -2.4862947871676448 -2.6395518467893631 11.129881 0.005254
4 22 -2.4930648366614991 -2.6468246563277655 11.491369 0.004719
4 23 -2.4997109697740658 -2.6540124610744256 12.169328 0.015241
4 24 -2.5139550018211549 -2.6694984674518709 13.947674 0.008081
4 25 -2.5194991502541249 -2.6755672022532773 14.127144 0.006325
4 26 -2.529503584760163 -2.6865417191520655 15.962486 0.008658
4 27 -2.5353491593138813 -2.6929993246437665 16.959374 0.006234
4 28 -2.5364787657825469 -2.6942481011227573 17.350617 0.020599
4 29 -2.5406086395778056 -2.6988273344293372 19.060219 0.009036
4 50 -2.5751025456081091 -2.7375964462163735 77.353602 0.045454
4 54 -2.5780089864825433 -2.7409154304936503 88.406633 0.038225
4 65 -2.5826912455239399 -2.746284430886857 101.554638 0.058762
4 40 -2.565260250901324 -2.726423654187311 36.819033 0.013878
4 70 -2.5840619570447618 -2.7478616587762081 125.362397 0.027783
