num states cc mbpt cc_times mbpt_times
6 6 0 0 0.164587 0.000095
6 7 -2.1925092560260575 -3.075062053127799 2.115150 0.000165
6 8 -3.1947328399730415 -4.5823831836386004 3.316874 0.000270
6 9 -4.174879027349462 -5.707672934664501 3.856986 0.001076
6 10 -5.4488709120326506 -7.468470087378412 4.634635 0.004196
6 11 -6.071234961743512 -8.1525491601979834 6.333035 0.002904
6 12 -6.1823923089388941 -8.267047512877598 7.043068 0.005889
6 13 -6.5483336314687275 -8.6651794003386389 8.366921 0.007868
6 14 -7.0744563683997885 -9.2206000694330008 12.875443 0.011596
6 15 -7.1239938886991849 -9.2727504734453436 12.915764 0.004939
6 16 -7.3846808423963708 -9.5429764767206073 16.692824 0.005360
6 17 -7.5681387966481584 -9.7338973744947577 19.833481 0.009885
6 18 -7.655019943607023 -9.8235096401057262 22.164489 0.232406
6 19 -7.7394312556985305 -9.9113549532741843 24.263761 0.028511
6 20 -7.8714350709530052 -10.048475205149089 27.186339 0.032905
6 21 -7.9231350727260397 -10.10168026745413 29.445224 0.036725
6 22 -7.9624300198466962 -10.142377381792938 31.511637 0.020721
6 23 -8.0057573560326123 -10.187682580192803 35.560607 0.022818
6 24 -8.0998258752150338 -10.286004598467123 42.291244 0.055158
6 25 -8.1363967852071646 -10.324484063033246 44.042928 0.054821
6 26 -8.1970481280187961 -10.3885759334333 53.482576 0.018094
6 27 -8.2360404765036215 -10.42985594243676 57.461506 0.027438
6 28 -8.2431717145830472 -10.437445676997642 63.230659 0.041372
6 29 -8.2684672544543467 -10.46449761400517 66.488471 0.025639
6 30 -8.2912996927547624 -10.488923067203446 70.055983 0.096502
6 31 -8.3123055408048003 -10.511560061448026 75.124772 0.025950
6 50 -8.474456010906561 -10.689987268883813 231.213061 0.067515
6 56 -8.4949729694277227 -10.713206301417168 287.060279 0.228880
6 65 -8.515420463183343 -10.73651240972308 416.126725 0.231712
6 40 -8.4184071328150694 -10.627365063462669 151.999133 0.045469
6 70 -8.5225475723102804 -10.744681611679589 487.155751 0.154681
