num states cc mbpt cc_times mbpt_times
10 10 0 0 0.157490 0.000128
10 11 -2.0170528726955474 -3.0344614519828603 2.541727 0.001511
10 12 -2.9205937477431023 -4.5282471352468843 3.486989 0.001490
10 13 -5.3011848943071378 -8.3975678836939061 5.132306 0.006190
10 14 -9.385533819058514 -14.439105362375807 12.821327 0.008111
10 15 -9.8972586048838185 -15.214567917130335 13.933914 0.015781
10 16 -12.534802389065014 -18.91576653716222 23.344602 0.013752
10 17 -14.056728628950378 -20.731081506067675 32.455490 0.042547
10 18 -14.843755660271871 -21.639086974823471 41.015408 0.016922
10 19 -15.574474156007627 -22.489912029769432 48.200102 0.049041
10 20 -16.704037525657196 -23.719999069344915 67.583409 0.030568
10 21 -17.175998439635627 -24.229625536345321 82.713316 0.030861
10 22 -17.510631269201291 -24.580374483167553 97.968605 0.033369
10 23 -17.900017719840701 -24.992652711144352 108.773490 0.041919
10 24 -18.740435829866147 -25.878776930425705 151.133089 0.084689
10 25 -19.08726692340316 -26.244598440742667 168.774343 0.056597
10 26 -19.646667775047234 -26.823525214249635 235.052724 0.070856
10 27 -19.999627056777268 -27.189672077984362 238.395517 0.081575
10 28 -20.064424158552413 -27.256163750732519 248.120125 0.115777
10 29 -20.298742822782696 -27.496235564174924 281.278876 0.098374
10 30 -20.511919519808082 -27.714726656381703 322.024962 0.113958
10 31 -20.709143886661302 -27.916978781518338 358.083384 0.108927
10 32 -20.820949251419158 -28.031798596197294 372.698519 0.128400
10 33 -20.907929653366224 -28.121831346836707 397.436388 0.124400
10 34 -21.133228338969818 -28.353437149936997 451.676222 0.161649
10 35 -21.197153548638052 -28.419390774794067 466.839057 0.167126
10 50 -22.302669960867149 -29.566436860378104 1357.429492 0.343523
10 60 -22.609963718965133 -29.89388241410569 2323.986470 0.494098
10 65 -22.700661957254191 -29.992053662463722 2793.267836 1.347263
10 40 -21.743936403153146 -28.983036597805764 766.045481 0.220167
10 70 -22.766811036925219 -30.06424334522292 3380.949470 1.508246
