num states cc mbpt cc_times mbpt_times
4 4 0 0 0.147097 0.000091
4 5 -0.055532853471527116 -0.05608547049709988 2.027548 0.000142
4 6 -0.68663765876922955 -0.69329458414700285 3.271841 0.000476
4 7 -1.6289497049754944 -1.6541906894188725 2.520542 0.000768
4 8 -1.7984931858740296 -1.8255000843586573 2.823146 0.000917
4 9 -2.1184195781210349 -2.1491690007621935 3.370248 0.000600
4 10 -2.2253636582663781 -2.2560168028027929 3.834924 0.000769
4 11 -2.321201060005897 -2.3520855116954094 4.621096 0.001389
4 12 -2.3584223830836963 -2.3896780009092971 4.276660 0.000957
4 13 -2.4165411080396835 -2.4480648183982519 4.756293 0.001380
4 14 -2.5172322262721849 -2.5494092361913738 6.090613 0.003663
4 15 -2.5229535604813336 -2.5551447296453005 6.139167 0.005920
4 16 -2.5697969014250499 -2.6023230446587409 7.889179 0.003961
4 17 -2.5981650585172895 -2.6309269433146141 8.050772 0.005830
4 18 -2.6150106174262699 -2.6479579544612126 8.526731 0.005105
4 19 -2.6280672507392304 -2.6611491151906366 8.957830 0.005602
4 20 -2.6513296970268851 -2.6846845913674797 10.214779 0.004935
4 21 -2.6618125814505542 -2.6953103876072579 11.069095 0.003334
4 22 -2.6690480306075806 -2.7026498195367354 11.711447 0.005985
4 23 -2.6761875731607008 -2.7099013514328525 11.375001 0.004206
4 24 -2.6915478169292548 -2.7255193707858254 14.124681 0.006135
4 25 -2.6975570979101318 -2.7316378275238624 14.802323 0.006873
4 26 -2.7084133375385417 -2.7426963929567156 16.561332 0.005527
4 27 -2.7147906024438488 -2.7492016093003713 18.101954 0.006282
4 28 -2.7160231721795403 -2.7504590963338487 18.950241 0.008909
4 29 -2.7205391090883317 -2.7550692190407577 20.697609 0.009299
4 50 -2.7586156082609046 -2.794046367898984 54.842315 0.017065
4 54 -2.7618591291562753 -2.7973773576718717 66.499877 0.019959
4 65 -2.7670992173945681 -2.802763273698992 99.765899 0.024939
4 40 -2.7476761822961198 -2.7828255469906744 34.094187 0.014100
4 70 -2.7686368676221154 -2.8043448456075111 119.022536 0.029348
