num states cc mbpt cc_times mbpt_times
7 7 0 0 0.155134 0.002736
7 8 -0.30246105912094873 -0.30799914149004193 4.768140 0.004451
7 9 -2.4264440018911633 -2.5214497142001298 3.994188 0.001689
7 10 -4.1746911961109436 -4.354177777237485 9.684431 0.017346
7 11 -5.9466183539373727 -6.2302983309582025 8.739253 0.027277
7 12 -6.3089894105896764 -6.6036775872177085 9.756802 0.008467
7 13 -7.0084575157202469 -7.3165651789297979 17.365251 0.031618
7 14 -8.3120061298358507 -8.648444706908208 26.004208 0.035180
7 15 -8.3904967708666902 -8.727290258727173 19.001437 0.005629
7 16 -8.9783805102131122 -9.3196462186656408 36.210509 0.019374
7 17 -9.344378552836325 -9.687555699181388 41.255405 0.076251
7 18 -9.5513512562373961 -9.8955159999273299 42.284949 0.103720
7 19 -9.7232572384670242 -10.068124964049193 52.007529 0.162250
7 20 -10.025541635905174 -10.371730033334916 65.923936 0.072521
7 21 -10.157433139913206 -10.504224220575612 74.070839 0.088812
7 22 -10.250923449177652 -10.598070151113497 81.695517 0.054829
7 23 -10.347311612587493 -10.694730914835315 84.045065 0.297057
7 24 -10.556339051894017 -10.904471474211817 108.165431 0.298117
7 25 -10.640426495088875 -10.988893320706222 124.558160 0.030677
7 26 -10.786447294495161 -11.135612225589481 139.190127 0.091400
7 27 -10.87419018357803 -11.223825157990374 145.488537 0.312692
7 28 -10.891027613314744 -11.240760930823406 165.585803 0.139929
7 29 -10.952023910255456 -11.302137383843743 181.259704 0.063286
7 30 -11.007849226426448 -11.358350243833154 197.781833 0.236397
7 31 -11.058380253681246 -11.409257800411229 222.498196 0.063690
7 32 -11.087103406830295 -11.438214488063874 231.398259 0.252356
7 40 -60.645728944839895 -60.60080865828143 531.953450 0.169656
7 50 -76.227156360877856 -76.224011635704755 780.691955 0.442136
7 65 -89.581825156161045 -90.115212644463554 1385.723552 0.375776
7 70 -91.615451696316342 -92.339942852794664 1558.511492 0.331032
7 57 -84.432047047468771 -84.659348966506371 1066.901035 0.533442
7 50 -11.456594835989259 -11.812277608138311 418.176073 0.171278
7 57 -11.517815515772423 -11.874700231917807 558.942588 0.165104
7 65 -11.557574581453196 -11.915325174357648 796.966421 0.198336
7 40 -11.31743179117381 -11.670940899206787 267.952608 0.082000
7 70 -11.575088276230828 -11.933243183994653 912.914888 0.226766
