num states cc mbpt cc_times mbpt_times
11 11 0 0 0.149487 0.003257
11 12 -0.21877460502130497 -0.2243588934569388 2.486643 0.001016
11 13 -1.9321338716346368 -2.020153915363692 7.164838 0.001182
11 14 -8.6241748259729523 -9.392558381252897 18.260299 0.045497
11 15 -9.3266494659315207 -10.160784198776565 15.098827 0.030261
11 16 -13.45254426305835 -14.616856976495669 39.131649 0.012665
11 17 -16.642848183352587 -18.115107794184478 57.731116 0.017341
11 18 -17.740728966784719 -19.247616909167643 56.026454 0.092960
11 19 -18.888008894115945 -20.437931148769483 78.809249 0.048994
11 20 -20.934804426955878 -22.564250811160335 119.720088 0.143137
11 21 -21.596280997786419 -23.236925648212448 140.403773 0.094937
11 22 -22.134173470543921 -23.784689567369551 156.071570 0.080363
11 23 -22.693891769811138 -24.350715327132679 173.300792 0.046677
11 24 -23.949150434408587 -25.62103078704947 255.788998 0.108598
11 25 -24.48861475472097 -26.167929928141433 288.581553 0.219359
11 26 -25.314526476946448 -26.999867122816585 366.052679 0.365344
11 27 -25.867125595992338 -27.557684763870093 417.749500 0.557313
11 28 -25.958642184280396 -27.649476835330319 433.250263 0.111813
11 29 -26.30345587526493 -27.995756686904933 478.638479 0.449983
11 30 -26.609457661653252 -28.302787866986819 534.396162 0.265989
11 31 -26.898331089002049 -28.592780514306511 578.533635 0.624740
11 32 -27.060109409437025 -28.755111575367334 664.033379 0.563855
11 33 -27.193585605018221 -28.889333247756078 695.001245 0.755893
11 34 -27.528890504936669 -29.226002245528633 691.174696 0.903829
11 35 -27.625464466649746 -29.323029415837411 776.765928 0.227794
11 36 -27.961167693552959 -29.660008352902619 931.787569 0.454345
11 50 -29.264707371930083 -30.970332190898375 1619.661284 0.420309
11 61 -29.758257975491876 -31.468718178784847 2882.596366 0.636521
11 65 -29.873046902854689 -31.584995883272846 3636.627113 0.766889
11 40 -28.428594402181261 -30.129256747487176 1018.824760 0.951626
11 70 -29.975740747218495 -31.689179618648438 4326.491070 1.993860
