num states cc mbpt cc_times mbpt_times
5 5 0 0 0.148841 0.005248
5 6 -0.69213052494260952 -1.1590739956563092 1.951399 0.001091
5 7 -1.5100701020349783 -2.5066156701111035 2.357531 0.000707
5 8 -1.6512965531148875 -2.6703074241515852 3.402928 0.000891
5 9 -2.0115866413124186 -3.1826537537913038 6.600823 0.010879
5 10 -2.2305299530635931 -3.4672027873954585 6.255078 0.001099
5 11 -2.3727410765897137 -3.6301843948003345 2.683808 0.004393
5 12 -2.4076621103062683 -3.6700473152711806 7.975134 0.001295
5 13 -2.4844209461366291 -3.7546694610236875 8.047793 0.003277
5 14 -2.6102370814880635 -3.8959277375873387 8.531989 0.002821
5 15 -2.6213532448814822 -3.9093429560360446 7.578356 0.208458
5 16 -2.6877793211061798 -3.9866516517814863 11.941720 0.002397
5 17 -2.728441185321266 -4.0345918599816111 13.229705 0.003175
5 18 -2.7484494841811355 -4.0582884740718175 14.244733 0.003625
5 19 -2.7657152532297382 -4.0793687857773513 15.174531 0.004096
5 20 -2.795488858205704 -4.1159342201514626 15.793242 0.023492
5 21 -2.8076695686286697 -4.1311571473680972 17.678109 0.007235
5 22 -2.8160595295908433 -4.1420031943157429 16.430332 0.039909
5 23 -2.8251520860897985 -4.1537412611183173 20.737255 0.024538
5 24 -2.8443282624694755 -4.179146149033599 22.532041 0.007364
5 25 -2.8518525610432812 -4.1893828919929454 27.441680 0.022738
5 26 -2.8641950254618522 -4.2065037623366264 28.751872 0.029709
5 27 -2.8717885356677768 -4.2172042216107428 30.282577 0.008083
5 28 -2.8731076638033759 -4.2191173046817134 33.196065 0.060148
5 29 -2.8779473417761272 -4.2261767877938006 34.343213 0.019764
5 30 -2.8823306176583237 -4.2326456962177827 40.694547 0.032542
5 50 -2.9171813401594653 -4.2869835515901116 84.719488 0.027684
5 55 -2.9203074167571783 -4.2921893365281196 104.438284 0.055264
5 65 -2.9251602093089892 -4.3004111322040792 165.572236 0.038545
5 40 -2.9064322565983098 -4.269557268749578 52.088169 0.048004
5 70 -2.9265661718992551 -4.3028303434104505 173.154534 0.155358
