num states cc mbpt cc_times mbpt_times
2 2 0 0 0.171260 0.000113
2 3 -0.27649938899594662 -0.37448839874302076 3.167119 0.000364
2 4 -0.31782284556071433 -0.41708174011026 3.113741 0.000987
2 5 -0.39269659671264368 -0.52940251751071321 1.786731 0.000090
2 6 -0.44791060282071649 -0.5974711130794772 2.494799 0.001604
2 7 -0.48055726951064892 -0.635131243482849 3.034007 0.000388
2 8 -0.4855229427911073 -0.64163194371966659 2.048902 0.002644
2 9 -0.4929245856949489 -0.65210806987551595 2.774236 0.001388
2 10 -0.49849092142017937 -0.65970932905982893 2.878930 0.001582
2 11 -0.50195268838927742 -0.66481237377551727 2.091577 0.001634
2 12 -0.50251968586665852 -0.66570685564036292 2.809435 0.000441
2 13 -0.50414284737305159 -0.66824683932739282 3.690101 0.000809
2 14 -0.50657996507731884 -0.67216381162686978 2.267944 0.000295
2 15 -0.50678139383365484 -0.67247702311765478 3.730263 0.000726
2 16 -0.50800576334118142 -0.67447827407302308 2.292573 0.007478
2 17 -0.50879011794803986 -0.67577612077323357 2.839043 0.000912
2 18 -0.509194763111119 -0.67646303739013658 4.018228 0.000862
2 19 -0.50956119683531131 -0.67708294446387396 2.142970 0.001660
2 20 -0.51019033427963167 -0.67815488959878267 3.856044 0.000438
2 21 -0.51041611772157214 -0.67854738360697953 3.699474 0.005979
2 22 -0.51060750206110295 -0.67887933624777796 3.192646 0.007070
2 23 -0.51079957790991704 -0.67921383064990704 3.336209 0.000963
2 24 -0.51123207753847466 -0.67996894424010734 5.776009 0.000877
2 25 -0.51139824602140305 -0.680259111059208 2.600930 0.001033
2 26 -0.5116958369764093 -0.68078705627361269 5.217085 0.003176
2 27 -0.51188279502327605 -0.68111830228316961 4.504116 0.001146
2 50 -0.5131677411651171 -0.68345629050322665 15.232686 0.005802
2 52 -0.51320807780329369 -0.68353146124012254 14.354436 0.033892
2 65 -0.51343212471343058 -0.68395145106374988 29.600238 0.003307
2 40 -0.51283497993095095 -0.68284152925133967 7.943160 0.004265
2 70 -0.51348060171129317 -0.6840429784029638 33.063682 0.009517
