num states cc mbpt cc_times mbpt_times
1 1 0 0 0.224679 0.000092
1 2 -0.015393292551200963 -0.015404018922704514 1.577336 0.000213
1 3 -0.019234272661895549 -0.019254077639597477 1.579522 0.000161
1 4 -0.019992328069960194 -0.020014548470246012 1.578571 0.000146
1 5 -0.020232029552221094 -0.020255162363125096 1.591998 0.000157
1 6 -0.020722880986898923 -0.020747935984413619 1.583147 0.000169
1 7 -0.021006868526110441 -0.021033104762618483 1.602186 0.000061
1 8 -0.021066762240117803 -0.021093257312351222 1.565290 0.000153
1 9 -0.021171915814847442 -0.021198874844537131 1.568584 0.000189
1 10 -0.021233235195286158 -0.021260470941987398 1.613451 0.000272
1 11 -0.021279301770594814 -0.021306748975374563 1.554799 0.000176
1 12 -0.021291129272514055 -0.021318630926726607 1.608644 0.000152
1 13 -0.02131903640157853 -0.021346667346883747 1.581916 0.000195
1 14 -0.021363721318412954 -0.021391562389625158 1.554654 0.000189
1 15 -0.021367463214549662 -0.021395321909554257 1.583669 0.000141
1 16 -0.021392419263999145 -0.021420396595294013 1.578003 0.000123
1 17 -0.02140818618029447 -0.021436239177078955 1.586533 0.000311
1 18 -0.021417123405649403 -0.021445219487852881 1.661938 0.000414
1 19 -0.021424785849190206 -0.021452918981121501 1.604549 0.000425
1 20 -0.021438023663033247 -0.021466221203658983 1.687748 0.000334
1 21 -0.021443780310713777 -0.021472005946089136 1.775426 0.000150
1 22 -0.021448214350819537 -0.021476461670245691 1.877216 0.000205
1 23 -0.021453118056780754 -0.021481389344485177 0.459706 0.000460
1 24 -0.021463580231375651 -0.021491902986762953 1.767032 0.000169
1 25 -0.021467732236161108 -0.021496075516247878 0.736509 0.000421
1 26 -0.021475271568218542 -0.021503652200782399 2.168210 0.000444

