num states cc mbpt cc_times mbpt_times
5 5 0 0 0.187983 0.000111
5 6 -1.2266139534724187 -1.2359923598107478 2.162134 0.000632
5 7 -2.6992331352671357 -2.7214500992449282 2.663007 0.000834
5 8 -2.8818036035490682 -2.9042952150783012 2.117876 0.000704
5 9 -3.4380904846176517 -3.4639946240569235 3.085469 0.000518
5 10 -3.7473889045306032 -3.7742908720387325 4.218903 0.001794
5 11 -3.9253950026589837 -3.9525030393464879 4.675252 0.002357
5 12 -3.9688139710127608 -3.9959736532128431 4.249557 0.002371
5 13 -4.0605312912660398 -4.0877560157351756 4.184359 0.002800
5 14 -4.2129396665762382 -4.2403114466178389 6.393147 0.006519
5 15 -4.2272684729004695 -4.2546675198689883 6.974899 0.002533
5 16 -4.3097212391900133 -4.3372382373613778 7.474066 0.006416
5 17 -4.3606872209440404 -4.3882861402648032 8.475928 0.005629
5 18 -4.385865231078137 -4.413506088064084 10.238047 0.009664
5 19 -4.408178105361257 -4.4358643042381276 11.409805 0.007277
5 20 -4.4467679341642716 -4.4745348956768485 12.867701 0.006981
5 21 -4.4628042219614255 -4.4906076909752128 12.963958 0.006919
5 22 -4.4741843033909436 -4.5020184004500701 14.254052 0.007770
5 23 -4.486473202206632 -4.5143397290953073 17.247981 0.007843
5 24 -4.5130150629161463 -4.5409597202167351 18.469303 0.007599
5 25 -4.5236898176193883 -4.5516689491774205 18.327909 0.022972
5 26 -4.541492255022721 -4.5695326851390394 21.278757 0.008572
5 27 -4.5525975198828679 -4.5806782073701635 24.455195 0.009930
5 28 -4.554579033550068 -4.5826674416560396 24.705395 0.009805
5 29 -4.5618814122506395 -4.5899988553619711 25.101916 0.009601
5 30 -4.5685642993091911 -4.5967091560821576 27.929247 0.010506

