num states cc mbpt cc_times mbpt_times
3 3 0 0 0.148565 0.000095
3 4 -0.40261321419799967 -0.40492743819430799 1.998733 0.000120
3 5 -0.58620697425589974 -0.58945996093780484 2.011658 0.000150
3 6 -1.4002087603893925 -1.4087436000833828 2.074429 0.000708
3 7 -1.7256264904828325 -1.7345665603884624 2.424723 0.000306
3 8 -1.8109428325577464 -1.8200437107981624 2.356548 0.000340
3 9 -1.9239412568962679 -1.9331379797308819 1.131303 0.001202
3 10 -1.9844637681777642 -1.9937241306810507 3.020263 0.000757
3 11 -2.0338194059087198 -2.0431295993227532 1.752338 0.001135
3 12 -2.0452732439292562 -2.0546002614816268 3.361508 0.001200
3 13 -2.073742725234657 -2.0831137277532052 3.685956 0.001286
3 14 -2.1162557895275054 -2.1257149851435244 2.675083 0.001681
3 15 -2.1190996714871764 -2.1285653828048154 2.642417 0.001791
3 16 -2.1392841594681586 -2.1488020669347421 3.329072 0.003212
3 17 -2.15204625646918 -2.1616025853380672 5.221625 0.003179
3 18 -2.1592145973996311 -2.1687929784407798 5.177757 0.003511
3 19 -2.1651696473266906 -2.1747683436244545 4.662479 0.003730
3 20 -2.1752705129495373 -2.1849059784243763 6.269896 0.003994
3 21 -2.1795188034389454 -2.1891705907922989 7.390266 0.003092
3 22 -2.1825899493397549 -2.1922542540727283 6.388156 0.002658
3 23 -2.1857365020168444 -2.1954137344485205 7.267352 0.008040
3 24 -2.1926793456218365 -2.2023864008001155 8.598609 0.003129
3 25 -2.1953997021082503 -2.2051188305954037 7.797868 0.005566
3 26 -2.2002013970620373 -2.2099426093414958 9.037549 0.002956
3 27 -2.2031446225432774 -2.212899689320595 9.461749 0.005903
3 28 -2.2036885943899507 -2.2134462417961593 10.146140 0.008012

