num states cc mbpt cc_times mbpt_times
4 4 0 0 0.147744 0.000091
4 5 -0.048322885845025663 -0.05289050171950499 1.473850 0.000092
4 6 -0.59966284902355482 -0.65599760699520104 1.931693 0.000500
4 7 -1.3708998045572121 -1.5711107018301942 2.455394 0.000680
4 8 -1.5190599427698515 -1.7347953593440404 2.795262 0.001258
4 9 -1.7975069572859912 -2.0452056239966536 3.029432 0.001175
4 10 -1.8996711918526517 -2.1476486217196387 3.667398 0.002028
4 11 -1.9892283614200219 -2.2400536505405411 3.913276 0.003407
4 12 -2.0221329410179791 -2.2763662983990809 4.037257 0.000961
4 13 -2.0757157125380377 -2.3327907267644599 4.716718 0.004273
4 14 -2.1673746241473131 -2.4309406646382756 5.987579 0.001578
4 15 -2.1727644600595553 -2.436508487154323 6.161620 0.003051
4 16 -2.2153606061149098 -2.4824009330721726 7.000100 0.003725
4 17 -2.2409476834797499 -2.5102627234745127 7.964762 0.004826
4 18 -2.2558187022393232 -2.5268717397404084 8.639842 0.003634
4 19 -2.2674194910183409 -2.5397490081111345 9.362142 0.004109
4 20 -2.2878737594559944 -2.5627520237046051 10.590652 0.004123
4 21 -2.2969495421011743 -2.5731465664249642 10.488479 0.005639
4 22 -2.3031852164779281 -2.580337806607865 11.245087 0.006620
4 23 -2.3092650473393008 -2.5874475352303534 11.801677 0.009893
4 24 -2.3222365416088042 -2.6027716807009691 13.587065 0.004748
4 25 -2.3272531873537092 -2.6087794071169093 14.252743 0.015670
4 26 -2.3362956844351901 -2.6196506722043682 15.332998 0.005785
4 27 -2.3415437117699769 -2.6260497520957005 16.545295 0.006540
4 28 -2.3425576936952268 -2.6272878113450364 17.423366 0.008994
4 29 -2.3462559611562961 -2.6318290199039884 18.086326 0.008277
4 50 -2.3767903810125945 -2.6703413117659816 50.098237 0.018639
4 54 -2.379329715152513 -2.6736454122456905 62.369059 0.020887
4 65 -2.3834066734750885 -2.6789934195385374 93.927314 0.026966
4 40 -2.3681498306956614 -2.6592279692969214 30.613299 0.013026
4 70 -2.3845968851109252 -2.6805652513522062 111.593814 0.029281
