num states cc mbpt cc_times mbpt_times
14 14 0 0 0.165696 0.000179
14 15 -0.027364974770130383 -0.030314861285306118 1.736785 0.000401
14 16 -2.274443434529279 -3.2484633555419862 6.683844 0.004194
14 17 -4.8885080547595754 -7.3876173114923391 14.498783 0.008140
14 18 -7.089713327187031 -11.573151106330549 21.897516 0.011574
14 19 -8.822680272605508 -14.600988027302392 30.690973 0.016540
14 20 -12.214904310013347 -20.752595344794212 55.509104 0.022658
14 21 -13.593395463249403 -22.784768954648115 70.915652 0.035488
14 22 -14.647456318639414 -24.302787224206064 86.307668 0.040993
14 23 -15.736106057108778 -25.783745963914864 112.882674 0.069947
14 24 -18.08416677042635 -28.852382823784424 180.525889 0.062539
14 25 -18.932649465565241 -29.844735391311538 221.566305 0.075051
14 26 -20.64893011223856 -31.91679588647678 309.660636 0.162635
14 27 -21.647114330958331 -33.066665724779483 375.087752 0.139652
14 28 -21.862150955574418 -33.31570629052019 397.444127 0.146748
14 29 -22.619336887748727 -34.173879273460599 475.952173 0.178623
14 30 -23.308326184611801 -34.94380524656021 636.356276 0.173014
14 31 -23.941207537266884 -35.64678488592233 650.163741 0.193412
14 32 -24.295066718350089 -36.033827919516789 701.453850 0.228613
14 33 -24.515572371071016 -36.262823472499363 710.529339 0.230847
14 34 -25.209441242442313 -37.006768683465253 846.524065 0.310995
14 35 -25.391426202340046 -37.196922033634046 932.499148 0.291224
14 36 -26.110593060692715 -37.957439447039519 1188.179149 0.312216
14 37 -26.462199875933855 -38.332683800647054 1245.501363 0.376682
14 38 -26.623448734823299 -38.503923033440955 1294.890488 0.326587
14 39 -26.764051122916431 -38.65105319274538 1398.163750 0.388100
14 50 -29.009391336301888 -41.001952333566393 2984.144743 0.820351
14 64 -30.312065729942461 -42.386372027517304 6898.714931 1.433046
14 65 -30.364577129827243 -42.4433946620914 7271.617469 1.608325
14 40 -27.172516332597603 -39.081900639184447 1504.071336 0.421226
14 70 -30.59430254676775 -42.694513280774217 12181.327193 1.553690
