num states cc mbpt cc_times mbpt_times
10 10 0 0 0.147103 0.001852
10 11 -1.5311890940998416 -2.9733283239933765 3.215370 0.016437
10 12 -2.1992999193639884 -4.4156197394685197 3.644184 0.001630
10 13 -3.9895702876782373 -8.1341729064413535 6.983958 0.010783
10 14 -7.203555888646898 -13.917094746934648 16.514793 0.036174
10 15 -7.5976603296941772 -14.66107635565103 13.317995 0.020819
10 16 -9.731902974722729 -18.214065376080278 28.673623 0.076834
10 17 -11.024266342508509 -19.953771148413228 43.598486 0.088718
10 18 -11.70771994348722 -20.824259872028748 57.764341 0.017622
10 19 -12.340361238796882 -21.641388553283182 66.423626 0.081611
10 20 -13.351463153838566 -22.822846006299741 102.504641 0.078273
10 21 -13.777384544633566 -23.312757511160729 107.877144 0.141301
10 22 -14.085664951835252 -23.650537669296057 133.222581 0.116576
10 23 -14.442339420175394 -24.048067600858172 148.037897 0.154554
10 24 -15.215767450897156 -24.903358285848178 195.099921 0.146687
10 25 -15.535143537414928 -25.25683772735573 217.776881 0.127312
10 26 -16.058242542197963 -25.816924338701927 273.072674 0.095496
10 27 -16.387985057579506 -26.171511580884118 316.363065 0.178530
10 28 -16.449074723063486 -26.235972459567627 314.812283 0.083504
10 29 -16.67048751240943 -26.468878283782793 370.577926 0.105435
10 30 -16.872020990861188 -26.680997299964709 413.591575 0.143861
10 31 -17.058560466789576 -26.87749492358892 456.117286 0.129036
10 32 -17.164241231743134 -26.989114025932317 478.501996 0.138095
10 33 -17.245965860938554 -27.076709343534013 494.896638 0.154264
10 34 -17.459028225187886 -27.302133073880604 579.131072 0.169418
10 35 -17.519362410689855 -27.366398731164015 557.744439 0.201062
10 50 -18.56088655139575 -28.487442889196267 1285.218618 0.343524
10 60 -18.845081450523253 -28.809235158308212 2258.297669 0.513645
10 65 -18.927916712591944 -28.905923492020698 2831.310095 0.644903
10 40 -18.036444463558858 -27.916249586977724 684.667706 0.208689
10 70 -18.987922445787934 -28.977096687767769 3451.903206 0.698490
