num states cc mbpt cc_times mbpt_times
8 8 0 0 0.147338 0.000093
8 9 -1.52314722388935 -2.4497733117413389 2.241630 0.001540
8 10 -2.7388372184374101 -4.2183372252506013 3.578151 0.003216
8 11 -4.0503132517576148 -6.1855511293022154 5.475579 0.005322
8 12 -4.3493532501813998 -6.5476187693030337 6.084629 0.005901
8 13 -5.4944937376407852 -8.4541135515130605 8.409893 0.006404
8 14 -6.9579650947746616 -10.290984697740111 14.609692 0.007121
8 15 -7.0392455182752816 -10.376350256070248 15.510977 0.007634
8 16 -7.6980455741528413 -11.096382765182478 22.215160 0.041732
8 17 -8.1692022547025722 -11.631514982626268 27.041693 0.011264
8 18 -8.460513517101603 -11.9662683163527 31.966221 0.012933
8 19 -8.6804605681856231 -12.205445501104167 35.165862 0.014470
8 20 -9.0589077365023609 -12.611929115279635 47.312707 0.019280
8 21 -9.2212630976720007 -12.785044359803267 55.292875 0.019703
8 22 -9.3375195961467288 -12.907304976925532 61.599096 0.027246
8 23 -9.4691710559856297 -13.048023402769275 67.193211 0.044095
8 24 -9.7391110707407993 -13.333028873982723 88.944784 0.029933
8 25 -9.8409417530221237 -13.439275462585815 100.124072 0.034631
8 26 -10.02727750714363 -13.636005508380928 119.961176 0.039686
8 27 -10.137146665992514 -13.75211524541799 138.261201 0.047221
8 28 -10.160172900211723 -13.776779365098452 140.625394 0.046108
8 29 -10.239987151811409 -13.861882305187009 153.293028 0.085927
8 30 -10.31116552940926 -13.938187470857104 168.777419 0.053843
8 31 -10.376501619568966 -14.008424203049064 203.983167 0.069549
8 32 -10.412585422967608 -14.047383037081982 208.584100 0.063440
8 33 -10.436911227295322 -14.073489235288427 230.993889 0.064575
8 50 -10.867485917899224 -14.556023556288308 506.730292 0.164576
8 58 -10.941848240060125 -14.645215697041507 768.293050 0.276474
8 65 -10.984117243662253 -14.697183926309943 1073.489889 0.286231
8 40 -10.699332769157591 -14.362458183966652 310.839590 0.140529
8 70 -11.00372767447978 -14.72162129211452 1364.270072 0.3073
