num states cc mbpt cc_times mbpt_times
15 15 0 0 0.161092 0.000212
15 16 -2.538068383991205 -4.6001110878472407 4.723949 0.004053
15 17 -5.2642853330467396 -9.3484463037742778 13.621386 0.008060
15 18 -7.4719307668125898 -14.020658754474841 21.838618 0.044714
15 19 -9.2369863093959488 -17.286096204872038 31.416037 0.018262
15 20 -12.678457000078353 -23.869742519827383 61.376256 0.029134
15 21 -14.053531161883313 -25.918590595623151 89.100424 0.034501
15 22 -15.11251926629642 -27.450598496059747 100.990063 0.065605
15 23 -16.326407206787451 -29.320141016081756 123.951518 0.109417
15 24 -18.874485925070253 -32.812764739282038 197.285599 0.081227
15 25 -19.829140373228711 -33.997396499833734 248.156032 0.083189
15 26 -21.599878061169221 -36.141383403451826 341.415992 0.131178
15 27 -22.66499575026063 -37.385245514451668 402.006256 0.158528
15 28 -22.883034583736503 -37.636982632809925 403.922105 0.172311
15 29 -23.662581286581254 -38.521044371736146 515.795049 0.194863
15 30 -24.368635622605805 -39.30847309894925 612.199537 0.229630
15 31 -25.024597118982989 -40.037692801978828 670.671930 0.244451
15 32 -25.397880400075209 -40.45085476015862 758.953653 0.253741
15 33 -25.659479017611382 -40.738317044988733 792.681273 0.291876
15 34 -26.398778466980595 -41.539078593844067 965.430607 0.284605
15 35 -26.599753974279245 -41.75308414426167 991.166670 0.335023
15 36 -27.360907250598913 -42.562852923126655 1232.638147 0.366151
15 37 -27.723399012450155 -42.949537806494313 1322.615225 0.429158
15 38 -27.889423183645498 -43.125590175310933 1436.482622 0.426092
15 39 -28.039338441466906 -43.283388159805455 1532.086906 0.520770
15 40 -28.464710594476365 -43.732225569094773 1673.804037 0.558112
15 50 -30.409208803765399 -45.770200407924762 3413.914323 0.792480
15 65 -31.843395250267449 -47.295486943685475 10297.551919 1.542936
15 65 -31.843395250267449 -47.295486943685475 10234.210687 1.501483
15 40 -28.464710594476358 -43.732225569094773 1543.674950 0.427317
15 70 -32.085978415056424 -47.560225718341187 10697.939714 2.295712
