num states cc mbpt cc_times mbpt_times
2 2 0 0 0.401233 0.000096
2 3 -0.29506719775432666 -0.37268542803158744 2.094263 0.000095
2 4 -0.33714736864108052 -0.41571321834045827 3.722710 0.000092
2 5 -0.41933257319004574 -0.52839869862727107 3.928269 0.000083
2 6 -0.47789617947095092 -0.59699889488599545 3.127567 0.000171
2 7 -0.51197736911413805 -0.63489689916006642 3.013612 0.003791
2 8 -0.51730415886564762 -0.64143548341138656 1.857223 0.000435
2 9 -0.52539729230990273 -0.65197257960530175 1.815055 0.000429
2 10 -0.53141982954278422 -0.65961233661514052 3.310618 0.214241
2 11 -0.53523695062795129 -0.66474067315497742 3.114294 0.005441
2 12 -0.53587316864811485 -0.66563948175929899 2.586657 0.000115
2 13 -0.53768756996289535 -0.66819043908024278 3.067925 0.000126
2 14 -0.54043004310089371 -0.67212351820225968 4.870325 0.000630
2 15 -0.54065441891245536 -0.67243787089501372 4.290451 0.000742
2 16 -0.5420361317655169 -0.67444609116951137 3.748777 0.002887
2 17 -0.54292368165038829 -0.67574821475298741 3.660771 0.000718
2 18 -0.54338450355164025 -0.67643728123118863 4.244903 0.000649
2 19 -0.54380109089575868 -0.67705900699377797 4.598492 0.000891
2 20 -0.54451770334837624 -0.67813398423643545 4.570739 0.000613
2 21 -0.54477619024703938 -0.67852756013834203 4.333076 0.000596
2 22 -0.54499504388371345 -0.67886034104527515 5.784075 0.000623
2 23 -0.54521477559144205 -0.67919563465196431 4.094627 0.005941
2 24 -0.54570992626900217 -0.67995249145504932 3.480883 0.001820
2 25 -0.54590016717482004 -0.68024331360634849 4.842472 0.000694
2 26 -0.54624208399756258 -0.68077235022930571 5.300545 0.000813
2 27 -0.54645679802054947 -0.68110426027410731 5.241909 0.000964
2 50 -0.54794096026934613 -0.68344575324230161 12.130476 0.002073
2 52 -0.5479877884580352 -0.68352100047557418 13.508056 0.001600
2 65 -0.54824822024943931 -0.68394136650978377 26.885808 0.004579
2 40 -0.54755536510971436 -0.68283026972292304 6.678840 0.001171
2 70 -0.54830465841505593 -0.68403296359006538 32.430226 0.004546
