num states cc mbpt cc_times mbpt_times
3 3 0 0 0.149022 0.000095
3 4 -0.3826464646178227 -0.40475016063187819 1.851021 0.000119
3 5 -0.55692394710535109 -0.58779996929580136 1.917277 0.000145
3 6 -1.322541486952185 -1.4019981885901829 1.961730 0.000328
3 7 -1.6416924825132457 -1.7253548944058155 2.241042 0.000592
3 8 -1.7250078113702219 -1.8102759257154091 2.312091 0.000179
3 9 -1.8363954782817111 -1.9226690850535961 2.904770 0.000279
3 10 -1.8959634394283376 -1.9828909872171938 1.305782 0.000774
3 11 -1.9445839701557528 -2.0320288051917847 1.568844 0.001116
3 12 -1.9558259985862521 -2.0434401005128646 3.558104 0.002281
3 13 -1.9837570861098244 -2.071817174274202 3.525203 0.001550
3 14 -2.0252828477664826 -2.1142222508894273 4.077454 0.001871
3 15 -2.0280564688995417 -2.1170607173168166 3.590734 0.001930
3 16 -2.0476963185399728 -2.137218038533637 3.312509 0.003689
3 17 -2.0600692786319588 -2.1499706135641934 4.534847 0.002133
3 18 -2.067016337279596 -2.1571355056798547 4.041550 0.003644
3 19 -2.0727712634342259 -2.1630905672005181 4.570113 0.003931
3 20 -2.0825142482282684 -2.1731953069623722 6.366696 0.002585
3 21 -2.0866052470879888 -2.1774466619020463 6.458905 0.004338
3 22 -2.0895572177170436 -2.1805214497348531 6.855392 0.008348
3 23 -2.0925809867459075 -2.1836721311540588 6.155154 0.004557
3 24 -2.0992426661758272 -2.1906262399140974 7.288933 0.004321
3 25 -2.1018497620482059 -2.1933516637962711 7.514219 0.005446
3 26 -2.1064458765576841 -2.1981639315336912 8.667548 0.005171
3 27 -2.1092605932353772 -2.2011142053629325 9.302138 0.011473
3 28 -2.1097807055105537 -2.2016595674200721 9.735439 0.005622
3 50 -2.1285371635578305 -2.2214196624551317 29.202036 0.008653
3 53 -2.1295044473781166 -2.2224438897527419 33.368403 0.010030
3 65 -2.1323814888102577 -2.2254941002259043 55.142879 0.015955
3 40 -2.1236329976510486 -2.2162357594706235 22.330237 0.008009
3 70 -2.1330837855133713 -2.2262396663266228 65.233600 0.015300
