num states cc mbpt cc_times mbpt_times
7 7 0 0 0.152179 0.000096
7 8 -0.29470795255117055 -0.30543199595181181 1.811988 0.000290
7 9 -2.3224941566019806 -2.5008908873106304 3.107528 0.000962
7 10 -3.9833636163803572 -4.3180646795558584 2.690207 0.002212
7 11 -5.6544247451081784 -6.1792139759712175 6.265234 0.005889
7 12 -6.003856138477528 -6.5496011251623116 5.129196 0.003377
7 13 -6.6851505243086056 -7.2567495907840085 9.257295 0.002860
7 14 -7.9527245039743235 -8.5785204686879695 12.711929 0.020201
7 15 -8.0302441292637816 -8.6567849634270377 13.876590 0.005074
7 16 -8.609500361410884 -9.2450287912531266 19.837461 0.010755
7 17 -8.9710129022505463 -9.6104729899008454 24.656952 0.010794
7 18 -9.1755948051430174 -9.8170959274702323 27.934342 0.054828
7 19 -9.3456597930799141 -9.9886282932865367 31.452253 0.013599
7 20 -9.6447091075107529 -10.290414595268082 38.784798 0.015343
7 21 -9.7751940797471129 -10.422144682106136 41.851341 0.015807
7 22 -9.8677873037630999 -10.515479605968848 46.136236 0.016497
7 23 -9.9633516817881969 -10.611627321828413 52.469221 0.018511
7 24 -10.170519727777295 -10.820294387416004 65.428771 0.023015
7 25 -10.253828287406584 -10.904298895370887 72.045671 0.027972
7 26 -10.398426580934899 -11.050331966008303 86.706175 0.030034
7 27 -10.485278537299637 -11.138144475308319 97.449861 0.036972
7 28 -10.50194091167106 -11.155007236737241 98.014537 0.034709
7 29 -10.5622876934112 -11.216126097473339 109.629942 0.038444
7 30 -10.617487244940634 -11.272109828461637 126.764594 0.041833
7 31 -10.667432642352265 -11.32281510949851 140.576221 0.088558
7 32 -10.695806982777963 -11.351659717946466 149.318144 0.102785
7 50 -11.059545313642353 -11.724521433338987 397.370757 0.128843
7 57 -11.119442496375125 -11.786800822506091 559.779126 0.165583
7 65 -11.15827246248498 -11.827344623499924 794.505393 0.219910
7 40 -10.922923976554836 -11.583578383596942 239.040613 0.091254
7 70 -11.175358580291453 -11.845230368492778 931.529839 0.241658
