num states cc mbpt cc_times mbpt_times
2 2 0 0 0.148563 0.000096
2 3 -0.35603381839146853 -0.36809598533780141 1.880815 0.000143
2 4 -0.4001213596823468 -0.41229970661840987 1.931624 0.000121
2 5 -0.50859347019254642 -0.52594545478085863 1.894689 0.000079
2 6 -0.57716767165794658 -0.59596954633549415 1.962522 0.000180
2 7 -0.61520760993540924 -0.63450244861801375 1.915409 0.000297
2 8 -0.62166541240350348 -0.64114178544028544 1.929195 0.000311
2 9 -0.63198944294512627 -0.65184091402571187 2.038403 0.000348
2 10 -0.63948355091393461 -0.65958272876882318 2.064445 0.000543
2 11 -0.64447427708303673 -0.66477805964049042 1.993631 0.000733
2 12 -0.64534305434493233 -0.66568832207021789 2.077769 0.000325
2 13 -0.64780586787711736 -0.66826827588041104 2.112180 0.000648
2 14 -0.65159121997099867 -0.67224388105506794 2.260012 0.000174
2 15 -0.6518941604509938 -0.67256124155057673 2.298161 0.000545
2 16 -0.6538197554234797 -0.67458781883532626 2.388913 0.000364
2 17 -0.65506606524760913 -0.67590119970944329 2.588350 0.001086
2 18 -0.65572368035315354 -0.67659592130768864 2.030063 0.000800
2 19 -0.65631672967124954 -0.67722242769847008 1.242932 0.000847
2 20 -0.65734122714021403 -0.67830537195040375 1.553262 0.000306
2 21 -0.65771551597013944 -0.67870178972779649 2.560283 0.001526
2 22 -0.65803179410864598 -0.6790367442104811 1.853650 0.000419
2 23 -0.65835016211576458 -0.67937413430960614 3.306201 0.001537
2 24 -0.65906855495365058 -0.68013556256998797 2.726251 0.000985
2 25 -0.65934455524035929 -0.68042810294461675 3.904425 0.000939
2 26 -0.65984553671387769 -0.6809599991357782 2.682806 0.002119
2 27 -0.6601598295201192 -0.68129364859382335 2.988213 0.000865
2 50 -0.66236771505813707 -0.68364430614489868 11.076917 0.002744
2 52 -0.66243839528673398 -0.68371975302176513 11.832700 0.002805
2 65 -0.66283287016070958 -0.68414110047732457 22.720548 0.002643
2 40 -0.66178880373833027 -0.68302693648572244 5.927052 0.004104
2 70 -0.66291872974793176 -0.68423287939849442 26.845525 0.004061
