num states cc mbpt cc_times mbpt_times
5 5 0 0 0.275681 0.000090
5 6 -1.1421822520011153 -1.228239235501132 2.033047 0.000565
5 7 -2.5002430102679023 -2.6999352649920123 2.312259 0.000802
5 8 -2.6783870459625003 -2.8808534361915532 2.329091 0.000953
5 9 -3.2029096096613694 -3.4358665814378595 2.955097 0.000498
5 10 -3.5009564249417187 -3.7436236580209226 3.851130 0.003148
5 11 -3.6754855630536518 -3.9203321732966794 2.732017 0.003652
5 12 -3.7180647619936016 -3.9634475758837078 3.114058 0.004220
5 13 -3.8084289780094225 -4.0545280821492957 4.049902 0.005056
5 14 -3.9583240349312372 -4.2059804841355692 5.408438 0.004856
5 15 -3.9723132932590488 -4.2202454770750197 5.732154 0.004517
5 16 -4.0531629350259006 -4.3023075682199359 8.314510 0.004065
5 17 -4.1030771272524005 -4.3530559194825056 8.370518 0.005715
5 18 -4.1277260598958572 -4.3781291656215569 9.059696 0.004057
5 19 -4.1495064259293102 -4.4003646897766906 10.559586 0.005324
5 20 -4.1871647312604763 -4.4388336592534188 12.003312 0.019396
5 21 -4.2027911264952422 -4.4548251899123716 12.524076 0.006863
5 22 -4.2138440849020213 -4.4661820910011931 14.904332 0.004514
5 23 -4.225786837032885 -4.4784479476610546 14.490347 0.005481
5 24 -4.2515166097189532 -4.5049525647409254 16.771675 0.008045
5 25 -4.2618400421783829 -4.5156170002441334 17.731419 0.009320
5 26 -4.2790285701801585 -4.533410481034073 20.733627 0.024806
5 27 -4.2897353163374774 -4.5445139772801442 22.931201 0.010341
5 28 -4.2916413993846714 -4.5464960331552415 23.026658 0.046110
5 29 -4.2986617660002713 -4.5538018422422946 25.231596 0.047702
5 30 -4.3050800809409262 -4.5604894377879219 26.808778 0.010749
5 50 -4.3583307284858517 -4.6163004960963079 75.948653 0.028253
5 55 -4.3633560449265456 -4.6216042987822661 93.975618 0.029139
5 65 -4.3712591674810328 -4.6299609771755357 158.304220 0.038499
5 40 -4.3414017297522651 -4.5984844328240175 46.721437 0.016815
5 70 -4.3735760357946578 -4.6324149021266621 160.732609 0.048411
